Date,Open,High,Low,Close,Volume
2024-06-12,10.85,10.91,10.78,10.88,957426
2024-06-13,10.89,10.93,10.8,10.8,1203508
2024-06-14,10.15,10.23,9.99,10.18,1637990
2024-06-17,10.13,10.16,10.08,10.1,681217
2024-06-18,10.11,10.16,10.04,10.08,700653
2024-06-19,10.1,10.21,10.08,10.15,796184
2024-06-20,10.16,10.17,10.05,10.05,629628
2024-06-21,10.05,10.09,9.95,10.0,830545
2024-06-24,9.97,10.07,9.88,9.98,947082
2024-06-25,9.99,10.13,9.98,10.08,769993
2024-06-26,10.06,10.13,10.02,10.08,628599
2024-06-27,10.06,10.21,10.0,10.13,928882
2024-06-28,10.1,10.26,10.09,10.15,918090
2024-07-01,10.09,10.35,10.04,10.35,1343051
2024-07-02,10.3,10.48,10.28,10.4,1384386
2024-07-03,10.4,10.43,10.29,10.31,713067
2024-07-04,10.3,10.38,10.25,10.26,735044
2024-07-05,10.26,10.29,9.92,9.97,1713354
2024-07-08,9.94,10.02,9.85,9.93,868660
2024-07-09,9.94,10.1,9.91,10.07,1032485
2024-07-10,10.07,10.2,10.05,10.14,873865
2024-07-11,10.21,10.23,10.07,10.13,721392
2024-07-12,10.12,10.31,10.12,10.31,1214164
2024-07-15,10.31,10.35,10.26,10.33,869412
2024-07-16,10.33,10.37,10.24,10.3,943008
2024-07-17,10.3,10.42,10.28,10.4,1220168
2024-07-18,10.38,10.43,10.3,10.41,1087061
2024-07-19,10.38,10.42,10.29,10.37,898723
2024-07-22,10.36,10.38,10.19,10.23,994481
2024-07-23,10.25,10.33,10.16,10.18,1020154
2024-07-24,10.18,10.24,10.12,10.13,724518
2024-07-25,10.12,10.15,10.0,10.09,856404
2024-07-26,10.1,10.12,9.97,10.03,929552
2024-07-29,10.02,10.14,9.97,10.11,781552
2024-07-30,10.1,10.13,10.03,10.08,613268
2024-07-31,10.08,10.28,10.07,10.27,1096906
2024-08-01,10.25,10.32,10.17,10.27,733884
2024-08-02,10.22,10.25,10.13,10.14,590229
2024-08-05,10.11,10.22,10.05,10.05,758979
2024-08-06,10.07,10.12,9.89,9.93,1265537
2024-08-07,9.95,9.98,9.91,9.93,517608
2024-08-08,9.92,9.98,9.9,9.94,500411
2024-08-09,9.96,10.1,9.94,10.04,730274
2024-08-12,10.02,10.05,9.98,10.01,353013
2024-08-13,10.02,10.03,9.92,9.95,622077
2024-08-14,9.94,9.98,9.91,9.92,436380
2024-08-15,9.92,10.06,9.87,10.03,776247
2024-08-16,10.08,10.21,10.05,10.13,1260368
2024-08-19,10.13,10.3,10.12,10.29,1482985
2024-08-20,10.32,10.43,10.28,10.34,1569187
2024-08-21,10.3,10.38,10.21,10.35,1034888
2024-08-22,10.34,10.45,10.32,10.38,1109030
2024-08-23,10.39,10.5,10.32,10.47,1071906
2024-08-26,10.5,10.55,10.42,10.49,740675
2024-08-27,10.47,10.52,10.37,10.43,723137
